time,iq,vbus
256.2297,0.384466,11.866626
256.2657,0.135969,11.884351
256.2887,-0.16363,11.875488
256.3107,-0.025007,11.866626
256.3327,-0.377812,11.866626
256.3545,-0.203376,11.848901
256.3766,-0.056854,11.866626
256.3986,0.07584,11.840039
256.4216,0.223213,11.857763
256.4437,0.307389,11.857763
256.4666,0.097542,11.822314
256.4885,0.360994,11.866626
256.5116,0.235151,11.866626
256.5346,0.366939,11.866626
256.5574,0.007451,11.866626
256.5805,0.2767,11.866626
256.6035,0.174203,11.866626
256.6266,0.333011,11.857763
256.6494,0.395356,11.893212
256.6715,0.391337,11.866626
256.6935,0.300373,11.848901
256.7155,0.687906,11.848901
256.7385,0.665065,11.866626
256.7614,1.004632,11.866626
256.7834,1.049184,11.857763
256.8054,0.772518,11.857763
256.8274,1.15196,11.866626
256.8495,1.131528,11.857763
256.8714,1.399555,11.857763
256.8933,1.561105,11.866626
256.9153,2.077498,11.866626
256.9384,1.817309,11.848901
256.9604,1.874418,11.848901
256.9834,1.806853,11.857763
257.0063,1.772705,11.875488
257.0283,2.006987,11.857763
257.0513,1.782948,11.875488
257.0734,1.789643,11.866626
257.0953,1.711733,11.893212
257.1182,1.66272,11.893212
257.1413,2.086324,11.866626
257.1633,1.818238,11.857763
257.1863,1.613413,11.866626
257.2092,1.632653,11.875488
257.2322,1.767571,11.875488
257.2553,1.711381,11.857763
257.2781,1.716538,11.866626
257.3012,1.802193,11.866626
257.3243,1.760819,11.848901
257.3472,1.832591,11.875488
257.3691,1.745266,11.857763
257.3911,1.856178,11.875488
257.4131,1.583237,11.857763
257.4351,1.902422,11.857763
257.4571,1.855079,11.857763
257.4792,1.876735,11.857763
257.5012,1.581719,11.875488
257.5230,1.770124,11.857763
257.5450,1.813373,11.875488
257.5670,1.746641,11.822314
257.5890,2.046021,11.866626
257.6111,1.807125,11.857763
257.6331,1.806402,11.848901
257.6551,1.728513,11.857763
257.6769,1.768491,11.866626
257.6989,1.969174,11.848901
257.7210,1.789544,11.866626
257.7430,1.868877,11.857763
257.7650,1.686281,11.822314
257.7870,1.885538,11.857763
257.8090,1.989507,11.875488
257.8309,1.687532,11.857763
257.8529,1.651887,11.866626
257.8749,1.829407,11.866626
257.8969,1.609281,11.857763
257.9199,1.808839,11.813452
257.9428,1.969498,11.884351
257.9659,1.587959,11.857763
257.9889,1.889288,11.875488
258.0119,2.046702,11.875488
258.0348,1.766679,11.875488
258.0578,1.683613,11.875488
258.0809,1.825608,11.875488
258.1029,1.965859,11.866626
258.1257,1.903302,11.875488
258.1478,1.881937,11.875488
258.1698,1.880513,11.875488
258.1918,1.759716,11.875488
258.2138,1.698447,11.875488
258.2358,1.579533,11.875488
258.2587,1.799437,11.875488
258.2817,1.839903,11.875488
258.3047,1.798715,11.857763
258.3278,1.517142,11.857763
258.3496,1.901121,11.875488
258.3727,1.878402,11.857763
258.3958,1.799271,11.857763
258.4186,1.979515,11.884351
258.4416,1.799156,11.875488
258.4646,1.80096,11.875488
258.4877,1.801484,11.875488
258.5106,1.681424,11.875488
258.5336,1.721917,11.875488
258.5566,1.780852,11.875488
258.5789,1.941764,11.884351
258.6016,1.901149,11.875488
258.6235,1.78077,11.857763
258.6456,1.639376,11.875488
258.6686,1.881603,11.875488
258.6916,2.141796,11.875488
258.7145,1.980919,11.875488
258.7366,1.958945,11.875488
258.7595,1.878578,11.875488
258.7825,1.71669,11.848901
258.8054,1.916254,11.875488
258.8274,1.773957,11.875488
258.8506,1.794698,11.840039
258.8735,1.632509,11.866626
258.8964,1.673286,11.875488
258.9184,1.874722,11.875488
258.9415,1.794074,11.875488
258.9646,1.894602,11.875488
258.9873,1.713695,11.875488
259.0104,1.754143,11.875488
259.0324,1.713696,11.848901
259.0554,1.895362,11.857763
259.0783,1.815518,11.875488
259.1013,1.735686,11.875488
259.1244,1.816605,11.848901
259.1472,1.715446,11.884351
259.1693,1.755332,11.875488
259.1913,1.816381,11.875488
259.2143,1.874818,11.875488
259.2373,1.713049,11.875488
259.2592,1.875399,11.875488
259.2812,1.755975,11.875488
259.3032,1.83627,11.875488
259.3252,1.796888,11.848901
259.3473,1.956489,11.866626
259.3693,1.956863,11.857763
259.3913,1.676639,11.893212
259.4131,1.756668,11.875488
259.4351,1.837165,11.875488
259.4571,1.877563,11.857763
259.4791,1.799284,11.875488
259.5012,1.759292,11.875488
259.5242,1.88017,11.884351
259.5471,1.921672,11.875488
259.5701,1.902119,11.875488
259.5921,1.903021,11.857763
259.6152,1.962637,11.875488
259.6380,1.842571,11.875488
259.6610,1.782849,11.875488
259.6841,1.802184,11.866626
259.7070,1.50274,11.866626
259.7290,1.883521,11.875488
259.7520,1.683843,11.857763
259.7751,1.683704,11.857763
259.7979,1.765716,11.813452
259.8210,1.987122,11.875488
259.8441,1.767167,11.857763
259.8670,1.966879,11.875488
259.8899,1.886379,11.875488
259.9130,1.886052,11.875488
259.9349,1.784377,11.875488
259.9580,1.983286,11.857763
259.9809,1.682086,11.875488
260.0039,1.881733,11.875488
260.0269,1.901019,11.875488
260.0498,1.882189,11.848901
260.0729,1.722493,11.857763
260.0959,1.840712,11.857763
260.1189,1.678554,11.875488
260.1418,1.87801,11.857763
260.1649,1.955809,11.875488
260.1879,1.674919,11.857763
260.2110,1.796463,11.848901
260.2337,1.796142,11.857763
260.2568,1.976992,11.866626
260.2788,1.795764,11.857763
260.3008,1.615138,11.857763
260.3227,1.716238,11.866626
260.3447,1.67575,11.866626
260.3667,1.716245,11.857763
260.3887,1.83728,11.866626
260.4108,1.876699,11.857763
260.4338,1.956272,11.866626
260.4556,1.735908,11.866626
260.4777,1.636395,11.866626
260.4996,1.798412,11.866626
260.5217,1.859335,11.848901
260.5437,1.738082,11.857763
260.5657,1.637427,11.848901
260.5888,1.71775,11.857763
260.6116,1.656996,11.857763
260.6346,1.67556,11.857763
260.6577,1.754572,11.857763
260.6805,1.834755,11.866626
260.7036,2.035287,11.884351
260.7266,1.733662,11.857763
260.7494,1.592873,11.857763
260.7725,1.874514,11.866626
260.7955,1.955175,11.857763
260.8186,1.613217,11.857763
260.8404,1.755261,11.848901
260.8635,1.896285,11.866626
260.8866,1.694667,11.857763
260.9096,2.117907,11.866626
260.9324,1.73527,11.848901
260.9555,1.795439,11.884351
260.9785,1.735612,11.857763
261.0015,1.816894,11.848901
261.0244,1.837397,11.857763
261.0474,1.796978,11.857763
261.0705,1.597017,11.857763
261.0933,1.797432,11.813452
261.1164,1.837901,11.866626
261.1384,1.717523,11.866626
261.1605,2.11926,11.857763
261.1814,1.898387,11.848901
261.2034,1.877725,11.857763
261.2254,1.838079,11.866626
261.2483,1.899073,11.866626
261.2713,1.878777,11.866626
261.2943,1.778641,11.866626
261.3164,1.597515,11.866626
261.3392,1.637661,11.866626
261.3622,1.597838,11.866626
261.3853,1.88088,11.813452
261.4073,1.801153,11.857763
261.4302,1.861765,11.875488
261.4532,1.661497,11.857763
261.4763,1.884554,11.866626
261.4991,1.764297,11.804589
261.5222,1.865149,11.866626
261.5452,1.845117,11.857763
261.5682,1.804472,11.866626
261.5911,1.804727,11.848901
261.6142,1.744687,11.866626
261.6372,2.046321,11.848901
261.6592,1.824154,11.857763
261.6810,2.126362,11.857763
261.7030,1.662457,11.866626
261.7251,1.802045,11.857763
261.7482,1.66011,11.857763
261.7712,1.960957,11.857763
261.7941,1.619007,11.866626
261.8171,1.721588,11.822314
261.8401,1.661175,11.822314
261.8630,1.560763,11.857763
261.8849,2.064152,11.857763
261.9070,1.721954,11.813452
261.9300,1.743112,11.848901
261.9531,1.641986,11.866626
261.9759,1.723395,11.875488
261.9979,1.723657,11.857763
262.0200,1.723376,11.857763
262.0420,1.743579,11.857763
262.0640,1.48272,11.884351
262.0868,1.764194,11.866626
262.1089,1.803754,11.866626
262.1309,1.744068,11.848901
262.1529,2.065975,11.866626
262.1749,1.883782,11.866626
262.1970,2.125913,11.857763
262.2189,1.601938,11.857763
262.2408,1.399433,11.866626
262.2628,2.063127,11.857763
262.2848,1.801069,11.857763
262.3078,1.639329,11.857763
262.3298,1.840241,11.857763
