time,iq,vbus
157.5114,0.582878,12.256567
157.5355,0.720636,12.247705
157.5606,0.55693,12.292016
157.5855,0.436166,12.247705
157.6105,0.478393,12.265429
157.6355,0.531782,12.283154
157.6624,0.413228,12.256567
157.6875,0.468884,12.265429
157.7135,0.998974,12.22998
157.7376,0.743095,12.238843
157.7624,0.985039,12.265429
157.7854,0.983667,12.256567
157.8117,1.242476,12.292016
157.8363,1.400687,12.283154
157.8613,1.092432,12.256567
157.8863,1.303563,12.265429
157.9113,1.03146,12.185669
157.9362,1.169751,12.256567
157.9615,1.153456,12.194531
157.9864,1.093669,12.256567
158.0133,0.946735,12.238843
158.0373,0.375119,12.22998
158.0611,0.429162,12.203393
158.0864,0.451188,12.247705
158.1522,0.6692,12.247705
158.1772,0.620897,12.256567
158.2022,0.852215,12.265429
158.2272,0.874917,12.22998
158.2501,0.809835,12.265429
158.2753,0.873956,12.265429
158.3001,1.194911,12.256567
158.3251,1.227493,12.283154
158.3491,1.066242,12.292016
158.3741,1.516255,12.265429
158.4000,1.30332,12.256567
158.4249,1.284913,12.256567
158.4501,1.111793,12.274292
158.4750,0.785289,12.256567
158.5001,0.85613,12.292016
158.5250,0.836106,12.256567
158.5502,0.240104,12.265429
158.5761,0.361698,12.256567
158.5991,0.452247,12.256567
158.6240,0.358882,12.256567
158.6489,0.5417,12.247705
158.6740,0.659973,12.238843
158.6988,0.782901,12.265429
158.7241,0.458378,12.256567
158.7489,0.841884,12.256567
158.7740,1.068418,12.247705
158.7990,1.043089,12.256567
158.8241,0.734003,12.247705
158.8489,1.078136,12.238843
158.8759,1.26552,12.238843
158.8990,0.87924,12.265429
158.9218,1.04083,12.22998
158.9472,0.953187,12.256567
158.9717,0.958592,12.256567
158.9979,0.877677,12.256567
159.0248,0.815599,12.292016
159.0499,0.329921,12.256567
159.0748,0.386684,12.256567
159.0988,0.335447,12.256567
159.1246,0.333346,12.247705
159.1497,0.348363,12.274292
159.1747,0.63174,12.238843
159.1998,0.612361,12.256567
159.2249,0.628235,12.265429
159.2498,0.864109,12.256567
159.2748,1.07272,12.265429
159.2995,1.09279,12.238843
159.3249,1.35852,12.256567
159.3496,1.254696,12.256567
159.3745,1.120457,12.221118
159.3996,1.351624,12.247705
159.4246,0.867182,12.238843
159.4495,1.066516,12.274292
159.4738,0.972711,12.265429
159.4965,0.653805,12.221118
159.5196,0.663746,12.274292
159.5444,0.582186,12.265429
159.5703,0.678962,12.256567
159.5945,0.344829,12.238843
159.6174,0.538183,12.221118
159.6424,0.467978,12.265429
159.6675,0.657644,12.256567
159.6923,0.697626,12.238843
159.7175,0.64439,12.256567
159.7424,0.956282,12.22998
159.7676,0.845192,12.212255
159.7924,0.715247,12.256567
159.8175,0.97338,12.265429
159.8424,1.055122,12.256567
159.8678,1.021702,12.221118
159.8924,1.087254,12.256567
159.9174,0.999243,12.256567
159.9425,0.803358,12.256567
159.9673,0.879431,12.256567
159.9922,0.925451,12.256567
160.0183,0.463855,12.256567
160.0433,0.415679,12.292016
160.0683,0.649309,12.292016
