time,iq,vbus
5.5989,0.000638,12.11477
5.6218,-0.081956,12.070458
5.6448,-0.081283,12.070458
5.6678,-0.075992,12.070458
5.6907,0.031015,12.070458
5.7138,0.014962,12.070458
5.7368,0.031129,12.079321
5.7597,0.04152,12.070458
5.7828,0.041432,12.070458
5.8047,-0.060047,12.070458
5.8267,-0.023443,12.097046
5.8488,-0.06065,12.132495
5.8708,0.014375,12.070458
5.8926,0.003693,12.070458
5.9157,-0.0688,12.079321
5.9387,-0.079564,12.11477
5.9607,-0.013496,12.070458
5.9828,-0.088492,12.070458
6.0056,0.00971,12.070458
6.0287,-0.078359,12.123632
6.0517,0.009818,12.070458
6.0747,0.001987,12.070458
6.0976,-0.120724,12.061597
6.1206,-0.035475,12.070458
6.1437,-0.030309,12.070458
6.1666,0.017361,12.097046
6.1886,-0.052235,12.123632
6.2106,0.037758,12.070458
6.2336,-0.095452,12.123632
6.2566,0.000531,12.061597
6.2796,-0.090602,12.070458
6.3025,0.034403,12.070458
6.3256,0.015699,12.070458
6.3486,0.033907,12.123632
6.3714,0.009272,12.079321
6.3935,0.032818,12.070458
6.4166,0.00534,12.070458
6.4385,0.02874,12.11477
6.4616,0.042058,12.070458
6.4845,0.033557,12.070458
6.5075,0.006267,12.070458
6.5308,0.029175,12.043872
6.5534,-0.086143,12.070458
6.5764,0.014943,12.070458
6.5985,-0.11615,12.097046
6.6205,-0.087229,12.061597
6.6424,-0.078963,12.079321
6.6645,-0.057524,12.052734
6.6873,-0.086608,12.079321
6.7094,-0.021981,12.070458
6.7324,-0.066414,12.070458
6.7544,-0.021082,12.052734
6.7774,0.011745,12.070458
6.8003,0.004075,12.043872
6.8233,-0.025166,12.070458
6.8464,0.007123,12.017285
6.8692,0.006728,12.070458
6.8923,0.05228,12.070458
6.9143,-0.003399,12.097046
6.9363,-0.075051,12.11477
6.9583,-0.082159,12.070458
6.9804,0.009325,12.141357
7.0032,0.020268,12.11477
7.0263,0.009583,12.097046
7.0483,-0.084625,12.088183
7.0703,-0.052937,12.15022
7.0933,0.032701,12.123632
7.1162,-0.001609,12.097046
7.1392,-0.068864,12.141357
7.1612,0.008222,12.017285
7.1833,0.042661,12.070458
7.2063,-0.092926,12.052734
7.2292,-0.149131,12.070458
7.2522,-0.024085,12.070458
7.2752,0.032176,12.070458
7.2982,-0.093176,12.11477
7.3211,-0.074935,12.079321
7.3432,0.011067,12.079321
7.3662,-0.048076,12.097046
7.3890,0.031861,12.026147
7.4111,-0.040078,12.035009
7.4331,0.04451,12.070458
7.4551,-0.094165,12.070458
7.4771,-0.075863,12.088183
7.4991,-0.017197,12.070458
7.5222,0.02277,12.079321
7.5440,-0.076197,12.070458
7.5661,-0.094454,12.097046
7.5880,-0.024795,12.132495
7.6110,-0.064962,12.088183
7.6341,-0.099823,12.070458
7.6570,-0.040999,12.11477
7.6801,-0.017153,12.088183
7.7031,-0.004301,12.070458
7.7261,0.033013,12.079321
7.7490,0.005566,12.061597
7.7720,-0.084711,12.070458
7.7951,0.005272,12.070458
7.8179,-0.10193,12.132495
7.8399,0.010053,12.070458
7.8630,-0.01647,12.052734
7.8860,-0.134801,12.088183
7.9080,-0.052737,12.132495
7.9301,0.000134,12.070458
7.9529,-0.004802,12.070458
7.9750,-0.079243,12.043872
7.9971,-0.089696,12.079321
8.0200,-0.102563,12.043872
8.0428,0.004613,12.070458
8.0659,-0.096383,12.088183
8.0889,0.010428,12.070458
8.1120,0.015501,12.070458
8.1348,0.028853,12.070458
8.1578,0.041583,12.132495
8.1809,-0.003769,12.070458
8.2039,-0.05725,12.079321
8.2267,0.014405,12.088183
8.2488,0.004712,12.070458
8.2718,0.037292,12.079321
8.2938,0.010688,12.035009
8.3167,-0.106789,12.105908
8.3397,-0.085394,12.079321
8.3628,0.015763,12.070458
8.3858,0.00512,12.052734
8.4086,-0.053205,12.079321
8.4318,-0.095659,12.061597
8.4547,0.000384,12.070458
8.4778,0.002846,12.123632
8.5007,0.010892,12.070458
8.5237,0.021372,12.070458
8.5468,0.047565,12.079321
8.5696,0.004801,12.070458
8.5927,-0.085669,12.079321
8.6147,0.004663,12.079321
8.6367,-0.022981,12.061597
8.6576,0.067224,12.097046
8.6798,-0.054957,12.105908
8.7027,-0.08686,12.070458
8.7256,0.009314,12.061597
8.7487,0.031291,12.070458
8.7717,0.001999,12.079321
8.7945,-0.026843,12.070458
8.8176,-0.175777,12.11477
8.8406,0.03197,12.061597
8.8637,-0.152132,12.070458
8.8865,-0.069916,12.017285
8.9085,0.010494,12.070458
8.9306,-0.031893,12.070458
8.9535,0.03139,12.070458
8.9766,0.005233,12.070458
8.9995,0.005497,12.070458
9.0215,-0.063837,12.079321
9.0435,-0.026059,12.079321
9.0656,-0.004337,12.088183
9.0885,-0.076431,12.061597
9.1114,-0.019922,12.079321
9.1344,-0.021376,12.070458
9.1575,-0.056004,12.132495
9.1806,-0.085159,12.070458
9.2024,-0.050246,12.123632
9.2254,-0.002534,12.097046
9.2475,0.034872,12.132495
9.2705,0.008512,12.070458
9.2933,-0.028351,12.070458
9.3155,0.009245,12.097046
9.3385,-0.060887,12.070458
9.3626,0.019368,12.079321
9.3853,-0.092204,12.088183
9.4084,-0.028154,12.070458
9.4307,0.013772,12.070458
9.4535,-0.07948,12.070458
9.4763,-0.082382,12.070458
9.4993,-0.002511,12.070458
9.5223,-0.138835,12.070458
9.5454,0.028507,12.070458
9.5682,0.043895,12.035009
9.5913,-0.08493,12.070458
9.6133,0.007778,12.070458
9.6353,0.001771,12.061597
9.6573,-0.112705,12.052734
9.6802,-0.085799,12.061597
9.7032,-0.087854,12.070458
9.7252,0.005641,12.052734
9.7473,-0.084587,12.123632
9.7703,-0.00657,12.070458
9.7931,-0.019118,12.079321
9.8162,-0.067192,12.105908
9.8392,0.012898,12.061597
9.8621,-0.084848,12.052734
9.8851,0.029938,12.070458
9.9081,0.019343,12.070458
9.9312,0.009509,12.070458
9.9541,0.020436,12.061597
9.9771,-0.091746,12.132495
10.0002,-0.007302,12.061597
10.0232,-0.002645,12.070458
10.0461,0.03455,12.079321
10.0691,-0.045706,12.070458
10.0921,-0.083074,12.079321
10.1150,-0.02983,12.11477
10.1370,-0.07468,12.097046
10.1590,-0.024182,12.061597
10.1821,-0.028991,12.070458
10.2051,0.008434,12.043872
10.2271,0.007735,12.123632
10.2500,0.002024,12.070458
10.2730,-0.01952,12.026147
10.2961,0.007544,12.079321
10.3189,-0.0826,12.070458
10.3419,-0.117547,12.079321
10.3640,0.017559,12.026147
10.3860,-0.083508,12.079321
10.4080,-0.030121,12.070458
10.4301,0.033807,12.043872
10.4520,-0.085356,12.079321
10.4749,0.034867,12.097046
10.4980,-0.002291,12.061597
10.5210,-0.08516,12.070458
10.5430,-0.079218,12.079321
10.5649,0.03561,12.097046
10.5868,-0.023331,12.123632
10.6088,-0.081179,12.079321
10.6309,-0.107773,12.035009
10.6539,0.043837,12.070458
10.6770,0.024648,12.123632
10.6998,-0.002714,12.070458
10.7228,-0.032693,12.070458
10.7460,0.001435,12.079321
10.7688,0.022334,12.061597
10.7918,-0.094666,12.070458
10.8138,-0.030923,12.070458
10.8358,0.033227,12.061597
10.8578,-0.025018,12.070458
10.8799,0.033146,12.070458
10.9019,-0.030735,12.079321
10.9237,0.004713,12.070458
10.9458,-0.082795,12.070458
10.9678,0.008343,12.141357
10.9908,0.045934,12.141357
11.0139,-0.076834,12.123632
11.0366,-0.073714,12.097046
11.0587,-0.060581,12.11477
11.0817,0.046427,12.079321
11.1037,-0.084178,12.043872
11.1257,-0.009598,12.070458
11.1480,-0.038603,12.070458
11.1708,-0.09211,12.070458
11.1939,0.00641,12.070458
11.2169,0.034885,12.132495
11.2396,0.004883,12.079321
11.2626,0.007988,12.079321
80.1447,0.432005,12.097046
80.1677,0.304632,12.088183
80.1906,0.904789,12.079321
80.2135,0.546056,12.088183
80.2356,0.063238,12.088183
80.2576,0.645799,12.088183
80.2785,0.832705,12.079321
80.3006,-0.025335,12.088183
80.3226,0.554386,12.070458
80.3454,0.813884,12.088183
80.3685,0.254216,12.11477
80.3915,0.52314,12.097046
80.4144,0.643512,12.079321
80.4375,0.954697,12.097046
80.4605,0.728592,12.097046
80.4835,0.337469,12.088183
80.5064,0.447106,12.097046
80.5294,0.257134,12.11477
80.5525,0.764822,12.070458
80.5745,0.633449,12.088183
80.5965,0.173777,12.11477
80.6183,0.703747,12.088183
80.6414,0.669149,12.088183
80.6634,0.356099,12.097046
80.6864,0.47187,12.11477
80.7084,0.304541,12.088183
80.7313,0.092525,12.11477
80.7533,0.469661,12.088183
80.7764,0.435033,12.079321
80.7984,0.530592,12.132495
80.8214,0.390497,12.088183
80.8443,0.570046,12.11477
80.8673,0.280956,12.079321
80.8904,0.740455,12.097046
80.9132,0.468343,12.088183
80.9352,0.181741,12.070458
80.9583,0.345775,12.079321
80.9813,0.567221,12.079321
81.0033,0.763096,12.061597
81.0252,0.30472,12.097046
81.0472,0.494095,12.070458
81.0692,0.246178,12.088183
81.0912,0.563113,12.097046
81.1142,0.521028,12.043872
81.1363,0.786712,12.088183
81.1591,0.722501,12.097046
81.1822,0.302888,12.097046
81.2052,0.602862,12.088183
81.2281,0.579133,12.123632
81.2511,0.546826,12.097046
81.2742,0.444179,12.088183
81.2961,0.273406,12.061597
81.3181,0.65204,12.079321
81.3411,0.611555,12.097046
81.3640,0.178972,12.123632
81.3872,0.410783,12.088183
81.4101,0.494937,12.061597
81.4330,0.251005,12.088183
81.4561,0.930684,12.043872
81.4780,0.776246,12.097046
81.5009,-0.089832,12.097046
81.5230,0.705075,12.079321
81.5449,0.943843,12.132495
81.5670,0.147684,12.105908
