time,iq,vbus
138.4243,0.640187,12.265429
138.4963,0.741257,12.238843
138.5214,0.880441,12.256567
138.5464,0.77402,12.309741
138.5713,0.824853,12.274292
138.5968,0.809191,12.247705
138.6213,0.595383,12.238843
138.6473,0.789822,12.265429
138.6724,0.640197,12.256567
138.6971,0.798609,12.256567
138.7223,0.610753,12.247705
138.7471,0.473151,12.265429
138.7722,0.665609,12.265429
138.7953,0.208873,12.265429
138.8191,0.378227,12.256567
138.8472,0.605072,12.212255
138.8724,0.464224,12.256567
138.8952,0.69096,12.292016
138.9202,0.662481,12.292016
138.9482,1.001083,12.292016
138.9730,0.735542,12.265429
138.9982,0.520048,12.22998
139.0235,0.964173,12.256567
139.0489,0.729637,12.256567
139.1210,0.762872,12.256567
139.1470,0.739374,12.265429
139.1720,0.584288,12.256567
139.1962,0.525064,12.256567
139.2211,0.584241,12.274292
139.2482,0.564187,12.247705
139.2729,0.270541,12.265429
139.2981,0.306191,12.256567
139.3231,0.237832,12.256567
139.3479,0.542936,12.265429
139.3710,0.994376,12.256567
139.3941,0.520948,12.247705
139.4181,0.672882,12.247705
139.4431,0.767581,12.256567
139.4681,0.735877,12.247705
139.4931,0.765519,12.265429
139.5179,0.825323,12.256567
139.5439,0.818706,12.256567
139.5687,0.73242,12.247705
139.5939,0.654898,12.238843
139.6188,0.780763,12.292016
139.6420,0.445834,12.265429
139.6647,0.763517,12.256567
139.6918,0.451404,12.256567
139.7169,0.355313,12.300879
139.7420,0.39555,12.256567
139.7668,0.436967,12.256567
139.7918,0.396203,12.256567
139.8180,0.683578,12.265429
139.8429,0.608641,12.256567
139.8677,0.334674,12.238843
139.8935,0.720135,12.292016
139.9188,0.449143,12.247705
139.9448,0.725548,12.265429
139.9688,0.824837,12.256567
139.9940,0.624275,12.238843
140.0186,0.927627,12.265429
140.0436,0.771292,12.203393
140.0688,0.746345,12.265429
140.0936,0.498244,12.292016
140.1188,0.707506,12.256567
140.1439,1.018215,12.265429
140.1679,0.458748,12.265429
140.1916,0.473141,12.22998
140.2185,0.672825,12.256567
140.2438,0.583064,12.22998
140.2685,0.734007,12.256567
140.2937,0.473396,12.274292
140.3195,0.541646,12.283154
140.3444,0.913082,12.256567
140.3695,0.65029,12.238843
140.3945,0.852723,12.265429
140.4196,0.254084,12.256567
140.4444,0.723744,12.265429
140.4695,0.568944,12.238843
140.4944,0.658871,12.265429
140.5193,0.787465,12.292016
140.5445,0.525268,12.265429
140.5694,0.834289,12.265429
140.5949,0.595849,12.256567
140.6195,0.703411,12.22998
140.6444,0.536355,12.22998
140.6693,0.400967,12.274292
140.6942,0.465146,12.265429
140.7195,0.381204,12.256567
140.7442,0.375313,12.256567
140.7706,0.739739,12.247705
140.7954,0.583966,12.256567
140.8204,0.753802,12.256567
140.8454,0.655209,12.256567
140.8687,0.38691,12.256567
140.8913,0.617529,12.265429
140.9186,0.593692,12.247705
140.9425,0.743392,12.265429
140.9691,0.704874,12.265429
140.9934,0.468058,12.256567
141.0206,0.724012,12.265429
141.0453,0.703717,12.265429
141.0702,0.865472,12.265429
141.0951,0.883048,12.22998
141.1201,0.511581,12.247705
141.1453,0.582184,12.283154
141.1704,0.783221,12.256567
141.1952,0.713235,12.256567
141.2200,0.606159,12.22998
141.2454,0.652541,12.265429
141.2702,0.714474,12.256567
141.2951,0.794391,12.265429
141.3202,0.695131,12.265429
141.3451,0.376573,12.247705
141.3701,0.458418,12.185669
141.3950,0.641798,12.265429
141.4202,0.716021,12.265429
141.4449,0.940562,12.265429
141.4702,0.568483,12.238843
141.4950,0.716853,12.238843
141.5182,0.715812,12.256567
141.5413,0.658813,12.22998
141.5640,0.728544,12.283154
141.5891,0.732444,12.265429
141.6150,0.485414,12.265429
141.6389,0.82673,12.265429
141.6640,0.547928,12.256567
141.6898,0.537446,12.22998
141.7160,0.328841,12.274292
141.7398,0.58564,12.256567
141.7660,0.350828,12.256567
141.7909,0.417033,12.256567
141.8170,0.672431,12.300879
141.8420,0.534234,12.238843
141.8669,0.282333,12.238843
141.8920,0.592367,12.283154
141.9179,0.546256,12.256567
141.9428,0.655471,12.22998
141.9677,0.553443,12.238843
141.9927,0.808575,12.256567
142.0178,0.570966,12.265429
142.0428,0.813789,12.238843
142.0677,0.690491,12.292016
142.0928,0.640802,12.256567
142.1176,0.40951,12.265429
142.1428,0.713484,12.292016
142.1676,0.644452,12.256567
142.1938,0.825898,12.274292
142.2166,0.333164,12.256567
142.2397,0.627213,12.238843
142.2629,0.617565,12.247705
142.2856,0.369207,12.265429
142.3096,0.347547,12.22998
142.3356,0.6998,12.265429
142.3626,0.569034,12.265429
142.3856,0.690767,12.265429
142.4115,0.75254,12.256567
142.4346,0.676046,12.256567
142.4596,1.012669,12.247705
142.4846,0.519209,12.238843
142.5097,0.731956,12.265429
142.5345,0.83368,12.256567
142.5595,0.403181,12.256567
142.5847,0.931053,12.256567
142.6095,0.806952,12.256567
142.6347,0.831261,12.292016
142.6597,0.516689,12.221118
142.6844,0.129835,12.256567
142.7095,0.493815,12.292016
142.7345,0.401703,12.256567
142.7595,0.533143,12.256567
142.7844,0.867398,12.256567
142.8107,0.913999,12.22998
142.8354,0.719248,12.274292
142.8614,0.386927,12.256567
142.8846,0.564345,12.283154
142.9076,0.405307,12.292016
142.9325,0.89572,12.238843
142.9564,0.59438,12.247705
142.9814,0.452117,12.238843
143.0064,0.812656,12.247705
143.0293,0.770291,12.274292
143.0545,0.477813,12.247705
143.0793,0.649855,12.283154
143.1044,0.574746,12.292016
143.1293,0.617026,12.256567
143.1543,0.61646,12.256567
143.1793,0.473605,12.238843
143.2041,0.620699,12.247705
143.2293,0.630097,12.256567
143.2542,0.388565,12.238843
143.2793,0.755348,12.238843
143.3043,0.452395,12.212255
143.3291,0.53179,12.283154
143.3543,0.451483,12.265429
143.3791,0.669359,12.265429
143.4041,0.825121,12.247705
143.4291,0.73473,12.256567
143.4543,0.419382,12.265429
143.4791,0.735745,12.256567
143.5043,1.121771,12.265429
143.5292,0.734227,12.265429
143.5540,0.759593,12.265429
143.5792,0.906698,12.256567
143.6051,0.874602,12.247705
143.6290,0.580406,12.292016
143.6541,0.748531,12.256567
143.6791,0.520458,12.256567
143.7039,0.766004,12.238843
143.7289,0.571562,12.238843
143.7551,0.662536,12.256567
143.7789,0.797344,12.212255
143.8051,1.025211,12.256567
143.8301,0.57791,12.238843
143.8548,0.604227,12.256567
143.8801,0.399847,12.238843
143.9060,0.644557,12.238843
143.9311,0.779607,12.221118
143.9560,0.666034,12.247705
143.9809,0.830115,12.256567
144.0059,0.886958,12.247705
144.0309,0.233769,12.256567
144.0559,0.598854,12.256567
144.0808,0.757978,12.265429
144.1060,0.598474,12.238843
144.1310,0.735638,12.265429
144.1557,0.441061,12.203393
144.1809,0.373971,12.265429
144.2058,0.312013,12.292016
144.2307,0.419066,12.256567
144.2540,0.323853,12.194531
144.2767,0.360093,12.256567
144.3009,0.540396,12.265429
144.3257,0.689419,12.265429
144.3507,0.482964,12.247705
144.3757,0.475123,12.256567
144.4028,0.430338,12.283154
144.4277,0.525589,12.22998
144.4527,0.791248,12.265429
144.4777,0.500922,12.256567
144.5027,0.624546,12.238843
144.5275,0.891379,12.300879
144.5527,0.664606,12.309741
144.5775,0.793772,12.292016
144.6026,0.84864,12.265429
144.6275,0.701484,12.203393
144.6527,0.426694,12.238843
144.6775,0.258486,12.265429
144.7025,0.659037,12.256567
144.7275,0.397762,12.247705
144.7525,0.06723,12.256567
144.7775,0.691485,12.256567
144.8004,0.526211,12.265429
144.8256,0.998922,12.247705
144.8505,0.769582,12.238843
144.8755,0.506245,12.256567
144.9016,0.235296,12.265429
144.9265,0.87396,12.256567
144.9514,0.853107,12.265429
144.9765,0.430878,12.256567
145.0015,0.670492,12.265429
145.0264,0.517111,12.265429
145.0515,0.749855,12.256567
145.0766,0.551957,12.274292
