time,iq,vbus
73.1761,1.107917,11.857763
73.1981,1.314755,11.848901
73.2202,1.292438,11.848901
73.2411,1.01326,11.866626
73.2621,1.11944,11.857763
73.2831,1.392607,11.857763
73.3041,1.067871,11.857763
73.3262,1.190275,11.857763
73.3490,1.162813,11.857763
73.3720,1.012564,11.866626
73.3951,1.307925,11.866626
73.4171,1.21311,11.866626
73.4381,1.068277,11.848901
73.4591,1.057838,11.848901
73.4800,1.102257,11.848901
73.5021,1.175579,11.848901
73.5231,1.259959,11.848901
73.5440,1.048032,11.857763
73.5650,1.120446,11.848901
73.5860,1.164787,11.866626
73.6070,1.165385,11.848901
73.6290,1.14821,11.857763
73.6509,1.210129,11.840039
73.6719,1.081808,11.866626
73.6939,1.294075,11.857763
73.7159,1.126843,11.857763
73.7390,1.037415,11.857763
73.7620,1.038371,11.866626
73.7849,1.205128,11.857763
73.8079,1.301068,11.848901
73.8299,1.061731,11.831177
73.8519,1.313251,11.857763
73.8739,1.280856,11.848901
73.8968,1.398848,11.857763
73.9198,1.231677,11.831177
73.9419,1.197609,11.857763
73.9639,1.320539,11.848901
73.9859,1.169132,11.857763
74.0087,1.168744,11.840039
74.0419,1.086377,11.893212
74.0647,1.232044,11.857763
74.0877,0.997554,11.848901
74.1108,1.086298,11.866626
74.1338,1.360011,11.857763
74.1567,1.158393,11.857763
74.1797,1.16822,11.831177
74.2019,1.351156,11.857763
74.2247,1.121031,11.848901
74.2476,1.166142,11.857763
74.2707,1.349552,11.831177
74.2927,1.037722,11.857763
74.3147,1.03764,11.857763
74.3367,1.166452,11.857763
74.3596,1.328967,11.848901
74.3826,1.039141,11.857763
74.4046,1.151089,11.857763
74.4256,1.027313,11.848901
74.4466,1.182939,11.866626
74.4676,1.22786,11.848901
74.4896,1.071605,11.831177
74.5106,1.166782,11.848901
74.5316,1.301098,11.857763
74.5526,1.122404,11.857763
74.5737,1.16711,11.857763
74.5956,1.272776,11.848901
74.6184,1.182749,11.848901
74.6404,1.294218,11.857763
74.6625,1.165864,11.857763
74.6855,1.226943,11.857763
74.7075,0.981942,11.857763
74.7304,1.12284,11.857763
74.7535,1.117769,11.866626
74.7765,1.169082,11.831177
74.7985,1.020001,11.884351
74.8205,1.512298,11.857763
74.8434,1.401976,11.857763
74.8654,1.124179,11.866626
74.8884,1.14058,11.848901
74.9104,1.129807,11.848901
74.9333,1.219423,11.866626
74.9544,1.32585,11.857763
74.9773,1.0451,11.857763
74.9993,1.235386,11.857763
75.0213,1.085382,11.866626
75.0434,0.879124,11.857763
75.0643,1.302809,11.857763
75.0864,1.191101,11.857763
75.1073,1.24115,11.848901
75.1283,1.123417,11.848901
75.1494,1.301828,11.857763
75.1703,1.077386,11.866626
75.1913,1.042945,11.857763
75.2123,1.170239,11.857763
75.2333,1.321015,11.857763
75.2553,1.052227,11.857763
75.2763,1.297708,11.848901
75.2973,1.320109,11.857763
75.3183,1.213024,11.884351
75.3393,1.167371,11.884351
75.3621,1.166555,11.857763
75.3852,1.166487,11.857763
75.4082,1.339748,11.848901
75.4292,1.227687,11.866626
75.4512,1.181471,11.857763
75.4741,1.164723,11.848901
75.4971,1.181048,11.857763
75.5202,1.164368,11.831177
75.5422,1.146959,11.857763
75.5650,1.067867,11.857763
75.5881,1.161629,11.848901
75.6111,1.011182,11.857763
75.6321,1.111483,11.848901
75.6531,1.312018,11.857763
75.6741,1.099266,11.848901
75.6951,1.345506,11.857763
75.7171,1.110813,11.857763
75.7380,1.031958,11.857763
75.7591,1.16038,11.866626
75.7800,1.344125,11.866626
75.8011,1.160141,11.866626
75.8220,1.161273,11.857763
75.8430,1.161947,11.857763
75.8640,1.161465,11.866626
75.8850,1.390257,11.857763
75.9060,1.076798,11.848901
75.9270,1.222493,11.848901
75.9490,1.289365,11.831177
75.9700,1.16063,11.857763
75.9929,1.120007,11.866626
76.0159,1.097015,11.857763
76.0389,1.18085,11.884351
76.0599,1.175239,11.795728
76.0819,1.141497,11.857763
76.1039,1.174691,11.875488
76.1258,1.041057,11.857763
76.1478,1.06406,11.848901
76.1709,1.388814,11.857763
76.1929,1.087151,11.857763
76.2149,1.109561,11.857763
76.2369,1.15879,11.884351
76.2598,1.030301,11.840039
76.2818,1.091055,11.848901
76.3038,0.986119,11.822314
76.3258,1.3205,11.857763
76.3478,1.00694,11.857763
76.3699,1.3475,11.813452
76.3917,1.341289,11.857763
76.4147,1.319529,11.848901
76.4367,1.286052,11.848901
76.4587,1.106799,11.831177
76.4807,1.1114,11.866626
76.5017,1.362426,11.857763
76.5227,1.267605,11.857763
76.5447,1.138624,11.848901
76.5667,1.137702,11.857763
76.5896,1.283241,11.866626
76.6127,1.093251,11.857763
76.6347,1.177899,11.848901
76.6567,1.172476,11.857763
76.6795,1.385509,11.866626
76.7026,1.106118,11.857763
76.7246,1.201397,11.848901
76.7466,1.351957,11.848901
76.7676,0.971558,11.848901
76.7896,1.116728,11.840039
76.8106,1.005744,11.848901
76.8326,1.385699,11.857763
76.8536,1.062195,11.884351
76.8746,1.219443,11.857763
76.8956,1.292274,11.866626
76.9166,1.330434,11.857763
76.9376,1.284536,11.831177
76.9604,0.842171,11.866626
76.9835,1.130541,11.857763
77.0065,1.348081,11.848901
77.0295,1.152998,11.857763
77.0524,1.063478,11.848901
77.0744,1.153248,11.848901
77.0964,1.304003,11.857763
77.1185,1.281889,11.866626
77.1404,1.103977,11.857763
77.1615,0.981799,11.857763
