time,iq,vbus
228.3884,2.526085,11.848901
228.4113,2.573018,11.857763
228.4343,2.60009,11.848901
228.4574,2.544735,11.848901
228.4802,2.41926,11.848901
228.5033,2.526066,11.848901
228.5263,2.432844,11.848901
228.5494,2.45177,11.822314
228.5722,2.571966,11.857763
228.5942,2.670167,11.848901
228.6162,2.41742,11.848901
228.6383,2.394652,11.857763
228.6592,2.574351,11.857763
228.6812,2.537534,11.848901
228.7034,2.621467,11.857763
228.7261,2.313377,11.848901
228.7482,2.715114,11.848901
228.7691,2.605615,11.857763
228.7912,2.704181,11.848901
228.8132,2.387727,11.831177
228.8352,2.374668,11.848901
228.8572,2.777812,11.795728
228.8792,2.777762,11.857763
228.9011,2.392292,11.848901
228.9231,2.585132,11.848901
228.9451,2.682107,11.831177
228.9671,2.446729,11.866626
228.9891,2.40619,11.804589
229.0111,2.659852,11.848901
229.0451,2.485403,11.848901
229.0671,2.565994,11.866626
229.0891,2.468688,11.857763
229.1120,2.446107,11.857763
229.1350,2.582777,11.848901
229.1580,2.646964,11.857763
229.1809,2.62904,11.866626
229.2031,2.65589,11.848901
229.2249,2.425435,11.848901
229.2470,2.46518,11.795728
229.2690,2.580527,11.848901
229.2920,2.773144,11.848901
229.3139,2.672561,11.848901
229.3369,2.440812,11.848901
229.3589,2.639196,11.848901
229.3820,2.538478,11.848901
229.4048,2.827983,11.857763
229.4278,2.653189,11.848901
229.4509,2.440028,11.848901
229.4739,2.679434,11.848901
229.4968,2.398139,11.795728
229.5188,2.577772,11.848901
229.5408,2.314107,11.848901
229.5639,2.576378,11.848901
229.5861,2.374717,11.848901
229.6087,2.384661,11.840039
229.6318,2.432371,11.848901
229.6538,2.386868,11.848901
229.6758,2.264738,11.831177
229.6978,2.496604,11.848901
229.7207,2.652124,11.848901
229.7437,2.625424,11.848901
229.7668,2.615333,11.848901
229.7888,2.605397,11.884351
229.8116,2.578643,11.848901
229.8347,2.628406,11.848901
229.8577,2.677671,11.848901
229.8808,2.792928,11.848901
229.9036,2.650922,11.848901
229.9267,2.677854,11.848901
229.9487,2.53787,11.884351
229.9717,2.525764,11.857763
229.9946,2.526558,11.857763
230.0166,2.347744,11.857763
230.0397,2.680307,11.848901
230.0627,2.388413,11.857763
230.0856,2.388618,11.840039
230.1086,2.389004,11.884351
230.1316,2.499638,11.848901
230.1536,2.613135,11.848901
230.1755,2.628873,11.857763
230.1975,2.555403,11.848901
230.2195,2.629004,11.857763
230.2415,2.637272,11.857763
230.2635,2.322046,11.848901
230.2856,2.543686,11.857763
230.3076,2.32215,11.848901
230.3294,2.776911,11.857763
230.3524,2.576516,11.848901
230.3755,2.472821,11.857763
230.3985,2.424905,11.875488
230.4203,2.700076,11.848901
230.4434,2.572009,11.848901
230.4654,2.470014,11.857763
230.4885,2.718079,11.884351
230.5104,2.579098,11.857763
230.5333,2.4002,11.848901
230.5564,2.588766,11.848901
230.5784,2.386233,11.875488
230.6004,2.38659,11.848901
230.6232,2.524583,11.848901
230.6463,2.770604,11.857763
230.6693,2.624741,11.848901
230.6924,2.488698,11.848901
230.7152,2.408615,11.848901
230.7383,2.679698,11.884351
230.7613,2.424267,11.848901
230.7844,2.607365,11.857763
230.8062,2.676366,11.848901
230.8282,2.386735,11.840039
230.8502,2.293573,11.848901
230.8722,2.638706,11.848901
230.8942,2.577977,11.848901
230.9173,2.421963,11.848901
230.9402,2.78075,11.848901
230.9632,2.385409,11.848901
230.9862,2.398901,11.848901
231.0091,2.578456,11.857763
231.0311,2.462688,11.857763
231.0531,2.624071,11.848901
231.0751,2.651133,11.857763
231.0971,2.770955,11.857763
231.1182,2.524549,11.840039
231.1412,2.524379,11.848901
231.1630,2.38496,11.831177
231.1850,2.531047,11.857763
231.2070,2.673524,11.848901
231.2291,2.673121,11.848901
231.2521,2.437961,11.848901
231.2741,2.522639,11.857763
231.2970,2.699344,11.840039
231.3190,2.466262,11.848901
231.3420,2.530352,11.857763
231.3651,2.635955,11.848901
231.3879,2.489873,11.848901
231.4109,2.550035,11.848901
231.4340,2.605978,11.857763
231.4569,2.852589,11.857763
231.4799,2.6503,11.848901
231.5030,2.524468,11.848901
231.5260,2.504928,11.840039
231.5480,2.651355,11.875488
231.5709,2.315722,11.857763
231.5939,2.577989,11.848901
231.6170,2.570746,11.857763
231.6398,2.650109,11.857763
231.6628,2.562307,11.831177
231.6859,2.584472,11.848901
231.7088,2.584307,11.848901
231.7307,2.510302,11.848901
231.7528,2.766093,11.857763
231.7748,2.592637,11.857763
231.7968,2.620151,11.875488
231.8199,2.623956,11.857763
231.8427,2.527259,11.848901
231.8647,2.636601,11.848901
231.8878,2.645621,11.875488
231.9108,2.402394,11.848901
231.9337,2.645198,11.848901
231.9567,2.379474,11.848901
231.9797,2.71061,11.848901
232.0028,2.572384,11.857763
232.0256,2.765535,11.848901
232.0477,2.695467,11.875488
232.0697,2.625485,11.848901
232.0917,2.455658,11.848901
232.1137,2.616702,11.848901
232.1357,2.377475,11.848901
232.1576,2.669036,11.840039
232.1796,2.425875,11.848901
232.2016,2.641703,11.848901
232.2236,2.760932,11.848901
232.2456,2.375371,11.848901
232.2676,2.640445,11.840039
232.2897,2.52038,11.848901
232.3115,2.476593,11.848901
232.3335,2.567881,11.857763
232.3566,2.651335,11.848901
232.3796,2.496682,11.848901
232.4025,2.694577,11.848901
232.4255,2.416436,11.822314
232.4485,2.600947,11.848901
232.4716,2.624478,11.840039
232.4944,2.647429,11.848901
232.5175,2.481427,11.831177
232.5405,2.573857,11.848901
232.5633,2.533327,11.848901
232.5854,2.601005,11.848901
232.6084,2.381042,11.848901
232.6315,2.646446,11.857763
232.6543,2.380306,11.848901
232.6774,2.525525,11.875488
232.7004,2.857255,11.857763
232.7234,2.644864,11.848901
232.7463,2.37878,11.848901
232.7683,2.402122,11.848901
232.7904,2.472652,11.848901
232.8123,2.646128,11.857763
232.8354,2.490241,11.848901
232.8582,2.509478,11.848901
232.8813,2.545279,11.848901
232.9043,2.645729,11.848901
232.9274,2.655292,11.884351
232.9492,2.41579,11.857763
232.9722,2.378136,11.848901
232.9953,2.401974,11.848901
233.0173,2.570511,11.848901
233.0402,2.575316,11.848901
233.0632,2.454524,11.848901
233.0862,2.569712,11.848901
233.1093,2.616102,11.848901
233.1322,2.516859,11.848901
233.1552,2.401673,11.848901
233.1772,2.621231,11.795728
233.2003,2.672243,11.848901
233.2231,2.486901,11.848901
233.2451,2.457984,11.848901
233.2671,2.38056,11.831177
233.2902,2.323092,11.848901
233.3122,2.598681,11.857763
233.3350,2.619139,11.848901
233.3570,2.572853,11.840039
233.3791,2.526762,11.857763
233.4011,2.572318,11.831177
233.4231,2.61832,11.848901
233.4451,2.671813,11.848901
233.4669,2.671944,11.848901
233.4890,2.671853,11.848901
233.5110,2.544949,11.848901
233.5330,2.57038,11.848901
233.5560,2.424352,11.848901
233.5791,2.643234,11.848901
233.6020,2.377705,11.848901
233.6250,2.717528,11.848901
233.6470,2.762643,11.884351
233.6700,2.569417,11.840039
233.6918,2.578721,11.848901
233.7149,2.376086,11.831177
233.7379,2.541226,11.848901
233.7599,2.61364,11.848901
233.7819,2.522297,11.848901
233.8048,2.642835,11.848901
233.8268,2.616138,11.875488
233.8499,2.690363,11.848901
233.8729,2.329177,11.848901
233.8958,2.619156,11.848901
233.9189,2.211286,11.848901
233.9418,2.580503,11.848901
233.9647,2.621468,11.840039
233.9878,2.488426,11.857763
234.0108,2.620895,11.848901
234.0328,2.395772,11.848901
234.0548,2.409138,11.848901
234.0767,2.381684,11.875488
234.0997,2.341111,11.857763
234.1217,2.533738,11.848901
234.1448,2.601975,11.848901
234.1668,2.732113,11.884351
234.1897,2.535864,11.848901
234.2127,2.638731,11.857763
